city_id,city_name
1,Zagreb
2,Split
3,Rijeka
4,Osijek
5,Zadar
6,Slavonski Brod
7,Pula
8,Sesvete
9,Karlovac
10,Varaždin
11,Šibenik
12,Sisak
13,Vinkovci
14,Vukovar
15,Dubrovnik
16,Bjelovar
17,Koprivnica
18,Pozega
19,Samobor
20,Virovitica
21,Kutina
22,Metkovic
23,Petrinja
24,Cakovec
25,Krapina
26,Sinj
27,Dakovo
28,Sibenik
29,Valpovo
30,Vrbovec
31,Zapresic
32,Solin
33,Knin
34,Zupanja
35,Ogulin
36,Nasice
37,Imotski
38,Opatija
39,Stenjevec
40,Porec
41,Virovitica
42,Omis
43,Ivanec
44,Beli Manastir
45,Nedelisce
46,Labin
47,Umag
48,Novska
49,Novi Marof
50,Krk
51,Krizevci
52,Vodice
53,Crikvenica
54,Tenja
55,Vrbovsko
56,Podstrana
57,Podravska Slatina
58,Cres
59,Darda
60,Garesnica
61,Vrlika
62,Gospic
63,Ozalj
64,Trogir
65,Buzet
66,Trnje
67,Cepin
68,Josipovac
69,Nasice
70,Pazin
71,Prelog
72,Omis
73,Jastrebarsko
74,Tisno
75,Petrinja
76,Ludbreg
77,Pleternica
78,Pozega
79,Stobrec
80,Trnje
81,Pula
82,Rijeka
83,Zagreb
84,Osijek
85,Vukovar
