Stanica,Tip,Kod 1,Kod 2
ANDRIJAŠEVCI,stj.,L209,E 2
ANDRIJEVCI,kol.,M104,E 2
ANTUNOVAC,stj.,L208,E 2
BADLJEVINA,stj.,L204,D 2
BAKAR,kol.,M602,A 2
BAKOVIĆI,stj.,M604,C 4
BANOVA JARUGA,kol.,M103;L204,C 2
BANOVCI,stj.,M104,E 2
BANJA,stj.,M304,D 5
BEDEKOVČINA,kol.,R201,C 1
BELAVIĆI,stj.,M202,B 2
BELI MANASTIR,kol.,M301,E 1
BELIŠĆE,otp.,L207,E 2
BENKOVAC,kol.,M606,B 3
BIBINJE,kol.,M606,B 3
BIJELA,stj.,L204,D 2
BIJELO BRDO,stj.,R202,E 2
BILAJ-RIBNIK,stj.,M604,B 3
BIZOVAC,kol.,R202;L207,E 2
BJELOVAR,kol.,L203,C 1
BLACKO-JAKŠIĆ,kol.,L206,D 2
BLATA,kol.,M604,B 2
BLINJSKI KUT,kol.,M502,C 2
BOROVO-TRPINJA,stj.,R104,E 2
BORUT,kol.,R101,A 2
BOTOVO,kol.,M201,C 1
BOŽJAKOVINA,stj.,M201,C 1
BRDAŠCE,stj.,M604,C 4
BRDOVEC,stj.,M101,B 1
BRÐANI KRAJIŠKI,stj.,M502,C 2
BREGI,kol.,R202,C 1
BREZINE-BUJAVICA,stj.,L204,C 2
BREZOVLJANI,stj.,L203,C 1
BRIJEST,otp.stj.,L208,E 2
BRLOG GRAD,stj.,L103,B 2
BROD MORAVICE,kol.,M202,B 2
BRODSKI STUPNIK,stj.,M104,D 2
BRŠADIN,stj.,M601,E 2
BRŠADIN-LIPOVAČA,stj.,M601,E 2
BUBNJARCI,stj.,L103,B 2
BUČJE-KOPRIVNICA,stj.,L205,D 2
BUDINŠČINA,kol.,R201,C 1
BUDROVCI,stj.,M302,E 2
BULIĆI,stj.,M606,B 4
BUZET,kol.,R101,A 2
BUZIN,stj.,M502,C 2
CABUNA,kol.,R202,D 1
CAREVDAR,stj.,M201,C 1
CERA,stj.,M604,C 4
CERJE-TUŽNO,kol.,L201,C 1
CERNA,stj.,L209,E 2
CEROVLJANI,stj.,M502,C 2
CEROVLJE,kol.,R101,A 2
CIGLENIK,stj.,L205,D 2
CIRKVENA,stj.,L203,C 1
CRET,stj.,R202,E 2
ČABRUNIĆI,stj.,R101,A 2
ČABRUNIĆI SELO,stj.,R101,A 2
ČAČINCI,kol.,R202,D 2
ČAGLIN,kol.,L205,D 2
ČAKOVEC,kol.,M501;R201*,C 1
ČAKOVEC-BUZOVEC,stj.,M501;L101,C 1
ČEHOVEC,stj.,M501,C 1
ČEMINAC,stj.,M301,E 2
ČEPIN,stj.,M302,E 2
ČUKOVEC,stj.,R202,C 1
ČULINEC,stj.,M102,C 1
DABAR,stj.,M607,C 4
DALMAT. OSTROVICA,stj.,M606,B 4
DALJ,kol.,R104;R202,E 2
DARDA,kol.,M301,E 2
DARUVAR,kol.,L204,D 2
DEANOVEC,kol.,M103,C 2
DEBELJAK,stj.,M606,B 3
DELNICE,kol.,M202,B 2
DELTA,rsp.,M202;M404,C 1
DESINEC,stj.,M202,B 2
DOBROVAC,stj.,L204,D 2
DOLIĆE,stj.,R106,B 1
DOMAGOVIĆ,stj.,M202,B 2
DONJA STUBICA,otp.stj.,L202,C 1
DONJA VRBA,stj.,M104,D 2
DONJA VRIJESKA,stj.,L204,D 2
DONJE DUBRAVE,stj.,M202,B 2
DONJI DOLAC,stj.,M604,C 4
DONJI KRALJEVEC,kol.,M501,C 1
DONJI LIPOVEC,stj.,R201,C 1
DONJI MIHALJEVEC,stj.,M501,C 1
DOPSIN,stj.,M302,E 2
DRAGALIĆ,stj.,M104,D 2
DRAGANIĆI,kol.,M202,B 2
DRAGOVCI,stj.,L205,D 2
DRAŠE,stj.,L102,B 1
DRENOVCI,kol.,R105,E 2
DRIVENIK,kol.,M202,B 2
DRNIŠ,kol.,M604,C 4
DRNJE,kol.,M201,C 1
DUBRAVA ZABOČKA,stj.,R201,C 1
DUGA RESA,kol.,M202,B 2
DUGO SELO,kol.,M102;M103*,C 1
DUKOVEC,stj.,R106,C 1
DUNJKOVEC,stj.,M501,C 1
ÐAKOVO,kol.,M104,E 2
ÐELETOVCI,kol.,M104,E 2
ÐELETOVCI STAJALIŠTE,stj.,M302,E 2
ÐERGAJ,otp.,M601,E 2
ÐEVRSKE,stj.,M606,B 4
ÐULOVAC,kol.,L204,D 2
ÐURÐENOVAC,kol.,R202,D 2
ÐURÐEVAC,kol.,R202,C 1
ÐURMANEC,kol.,R106,B 1
ERDUT,kol.,R104,E 2
ERNESTINOVO,stj.,L208,E 2
FERIČANCI,stj.,R202,D 2
FRIGIS,stj.,R202,E 2
FUŽINE,kol.,M202,B 2
GABOŠ,stj.,L208,E 2
GAJNICE,stj.,M101,B 1
GALIŽANA,stj.,R101,A 2
GALOVCI,stj.,M606,B 3
GARČIN,kol.,M104,D 2
GENERALSKI STOL,kol.,M202,B 2
GOLUBIĆ,kol.,M103,C 3
GOLUBOVEC,kol.,L201,C 1
GOMIRJE,kol.,M202,B 2
GORNJA STUBICA,kol.,L202,C 1
GORNJE DUBRAVE,kol.,M202,B 2
GORNJI ZVEČAJ,stj.,M202,B 2
GOSPIĆ,kol.,M604,B 3
GRABOŠTANI,stj.,R102,C 2
GRAČAC,stj.,M604,B 3
GRADEC,kol.,M201; L214,C 1
GRADEC STAJALIŠTE,stj.,M201,C 1
GRADIŠTE,stj.,L209,E 2
GREDA,kol.,M502,C 2
GREDICE,stj.,L102,B 1
GRGINAC,stj.,L203,C 1
GRGINAC NOVI,stj.,L203,C 1
GUNJA,stj.,R105,E 2
HAGANJ,stj.,L214,C 1
HARMICA,stj.,L102,B 1
HEKI,otp.stj,R101,A 2
HEKI STAJALIŠTE,stj.,R101,A 2
HORVATI,kol.,M202,B 2
HRASTOVAC,stj.,R102,C 2
HRASTOVAC-VUČKI,stj.,M302,E 2
HRAŠĆINA-TRGOVIŠĆE,stj.,R201,C 1
HROMEC,stj.,R106,B 1
HRSOVO,stj.,L203,C 1
HRVATSKA DUBICA,kol.,M502,C 2
HRVATSKA KOSTAJNICA,stj.,R102,C 2
HRVATSKI LESKOVAC,kol.,M202,C 1
HUM U ISTRI,stj.,R101,A 2
HUM-LUG,rsp.stj.,R201;L202,C 1
ILAČA,stj.,M104,E 2
ILOVA,stj.,M103,C 2
IVANEC,kol.,L201,C 1
IVANIĆ GRAD,kol.,M103,C 2
IVANKOVO,kol.,M104,E 2
JALŽABET,kol.,M104,C 1
JANKOVCI,kol.,R202,E 2
JASENOVAC,otp.stj.,M502,C 2
JASTREBARSKO,kol.,M202,B 2
JELISAVAC,stj.,R202,D 2
JOSIPDOL,kol.,M604,B 2
JOSIPOVAC,kol.,R202,E 2
JURDANI,kol.,M203,A 2
JURŠIĆI,stj.,R101,A 2
JUŠIĆI,stj.,M203,A 2
KALDRMA,stj.,M604,C 3
KALINOVAC,stj.,R202,C 1
KAMANJE,kol.,L103,B 2
KANFANAR,kol.,R101,A 2
KARLOVAC,kol.,M202 L103,B 2
KARLOVAC CENTAR,stj.,M202,B 2
KAŠTEL GOMILICA,stj.,M604,C 4
KAŠTEL KAMBELOVAC,stj.,M604,C 4
KAŠTEL STARI,kol.,M604,C 4
KAŠTEL SUĆURAC,kol.,M604,C 4
KISTANJE,kol.,M606,C 3
KLANJEC,kol.,L102,B 1
