""ID","Labels","Properties"
"0","[""__Entity__"",""Event""]","{""id"":""Gatherings of Stanari""}"
"1","[""__Entity__"",""Location""]","{""id"":""Stanari""}"
"2","[""__Entity__"",""Group of People""]","{""id"":""food-bloggers and influencers""}"
"3","[""__Entity__"",""Location"",""Sublocation""]","{""id"":""stan""}"
"4","[""__Entity__"",""Region""]","{""id"":""eastern Croatia""}"
"5","[""__Entity__"",""Group of People""]","{""id"":""local women""}"
"6","[""__Entity__"",""Type of Food""]","{""id"":""food""}"
"7","[""__Entity__"",""Type of Farming""]","{""id"":""traditional farms""}"
"8","[""City""]","{""name"":""Bakar"",""id"":2}"
"9","[""Document""]","{""section"":""Bakar"",""id"":""f27623e51de758bfc04716c44a1f8c67"",""text"":""Bakar, one of the oldest towns in the Adriatic, awaits you at the bottom of the beautiful bay through which the Mediterranean reaches Central Europe."",""embedding"":[0.031710096,0.006863905,0.005822892,-0.0071212347,-0.021114033,-0.030868553,-0.00465068,0.0061250934,0.05393,0.0038326578,0.025924763,-0.01548981,-0.026889285,-0.035573907,-0.018601714,-0.06362308,-0.025775906,-0.00968768,-0.050130345,0.0140591515,-0.0017568957,-0.0062047206,-0.054295503,-0.046638165,-0.031497493,0.0046458906,0.032198638,0.025374504,0.041354243,0.019102467,-0.004525574,0.014687301,0.019899301,-0.016026378,0.041285295,0.010662961,-0.015376088,-0.048229616,0.021953914,-0.016367735,-0.011630928,-0.017462034,0.023701081,0.01082729,0.0052442783,0.020444104,-0.006085635,-0.038841408,-0.02427199,-0.014183478,0.006634822,0.012280345,0.04445984,0.0071757333,-0.027946642,-0.0049771364,-0.030342363,-0.021630859,0.01930811,0.02858072,-0.0014671634,-0.012221572,-0.004230731,-0.040891908,-0.016592585,0.014874127,0.0233296,0.033768293,0.031566996,-0.027846837,-0.039083444,-0.016864942,0.042309005,-0.052109323,-0.027620653,0.030794082,-0.03465606,0.03786246,0.026729068,-0.020191196,0.0317845,0.02618699,0.0010608016,0.056262553,-0.05302768,-0.0034468737,-0.024666728,0.06019406,-0.014392256,0.015046691,0.008903123,0.037322257,-0.010428696,0.0044982536,0.014820747,0.03344274,0.0074186036,0.043606304,-0.0019397953,0.025147408,0.0232481,0.05575944,-0.036463544,0.027219474,-0.011578375,0.025190098,-0.037774317,-0.024938304,-0.033331327,-0.056554087,-0.011409443,-0.004152803,-0.010841318,-0.0324425,0.035840776,0.022915216,-0.044644866,0.016324926,-0.02035313,-0.008152042,-0.06244547,0.04135827,0.015425269,-0.04517275,-0.024888558,-0.026956642,-0.026641335,0.062338356,-0.004094191,0.018212862,-0.023780936,-0.048247542,0.01799765,0.03654874,0.014237172,0.0055222176,0.046562172,-0.0336305,-0.0067900755,-0.031959776,0.0063705132,0.007053888,-0.0051643196,0.09267659,0.024187975,-5.350149E-4,0.013831721,-0.0033990743,-0.038502365,0.03257627,-0.06723247,0.010909557,0.0020082786,-0.010541753,-0.041075137,0.013544857,-0.014329784,0.011225635,0.002828314,0.01694749,-0.06348009,-0.03354634,0.027263232,0.01990587,-0.024059629,0.024177892,0.011267814,-0.04679478,0.022064028,-0.012891308,0.005850191,0.047240425,-0.03733532,-0.0057799257,0.027495744,0.0015847121,0.03541464,-0.016923,-0.0044978247,0.012060134,-0.0013176935,-3.984463E-4,-0.017223362,0.006478806,-0.013235723,0.0019807965,-0.0076207933,0.0011378216,-0.037603784,0.013522218,0.018601585,0.0034564193,0.042600375,0.030298835,0.0035146105,-0.0042993305,-0.042745657,-0.015437889,-0.015063662,-0.022751788,-0.061228182,0.030957932,0.013856195,0.04370201,0.03466532,-0.023827882,-0.029209554,0.063123204,0.01205215,-0.03409764,0.06760337,-0.015308905,-0.04469908,0.009079137,0.051906098,-0.028068554,-0.04167551,0.013739187,0.013605172,0.0048820716,-0.015682166,-0.0035022239,3.696605E-4,0.014345079,-0.003793693,0.04255348,-0.011406848,-0.0053094537,0.01589849,-0.03953841,-0.030636467,-0.02255248,-0.007673133,0.06201895,0.017217522,0.043305513,0.014009252,0.008110278,0.008061566,-0.023015495,0.007988895,0.03729364,0.08795653,-0.017799413,-0.037238184,0.044460695,0.008314186,-0.0028557775,-0.021833098,0.05172612,0.0074094855,-0.010391285,-0.008365208,-3.2505172E-4,-0.033949256,0.016083656,0.029043483,0.0064941887,-0.048399184,-0.044921193,-0.041749325,0.012542362,-0.0014706644,0.00716712,0.027371196,0.045530975,0.018697338,-0.010266866,-0.0023468686,-0.06974614,-0.020531572,0.0020547109,-0.036629345,0.003822256,-0.07093763,-7.229788E-4,0.042857334,-0.036321677,0.020738408,-0.009200217,-0.01651832,0.0029591958,-0.015219493,0.012817806,0.016176179,0.04528471,-0.0051137777,0.032645967,0.008705069,-1.9962774E-4,-0.04626947,0.04316013,-0.030236166,0.021928549,0.0070443787,-0.02468714,0.046937745,0.01367779,-0.0150359925,-0.029189527,-0.012045596,-0.018906664,-0.023884548,-0.022955066,0.040610578,-0.017763657,0.0112203,0.026244458,0.021595836,0.014711824,0.010415543,0.02060776,4.5184934E-4,-0.0064937836,-0.04143328,0.05327603,0.044773016,-0.0039185034,-0.0061257435,0.00536957,0.0056685708,0.021149784,0.0043817526,-0.021785747,-0.0010033135,0.043310814,0.05114657,-0.06768713,0.008105543,0.028425958,-0.031872384,-0.044340096,-0.027413018,0.059970174,0.009226292,0.01796763,-0.007036232,-0.00992306,-0.009813467,0.024987122,0.007114979,-0.031963516,0.003962142,0.03554621,-0.03317548,0.0039525083,-0.007634783,-0.036149256,-0.0024735795,-0.009749796,-0.033055622,0.038390428,0.022939567,0.034059715,0.02075624,0.06287389,-0.044963494,0.005540799,0.01291331,0.014451881,0.06048804,0.03601555,-0.0019940198,0.013594866,0.046848454,-0.07274444,0.0020138114,0.014016053,0.0015105654,-0.042014148,0.017428845,0.03949796,-0.04178738,0.026227763,-0.012906468,-0.037943568,0.045086317,0.015569625,0.051985923,0.0023939589,0.012351108,-0.06617986,0.011642932,0.02647178,0.040624365,0.0022521315,0.034338605,-0.0074445764,-0.017881745,-0.08354863,0.0050315903,0.024888871,0.047325157,0.010232015,-0.00501964,-0.055872414,0.029049076,-0.0056367805,0.010272657,-0.035357483,-0.052675568,0.028699486,0.0146827,0.033757012,-0.031058563,0.05194363,-4.1892336E-4,0.03775521,0.02624918,-0.01634294,0.009653108,-0.018422725,0.009420841,0.042424403,-5.701186E-4,0.007133757,-0.04668426,0.0092916135,-0.0017310781,-0.028808681,-0.008707706,-0.0118250325,-4.063246E-4,0.008548799,0.0068406085,-0.02238313,-0.0039464147,-0.035891924,0.0652062,0.029708968,-0.019357568,0.054663558,0.033645306,-0.01879072,-0.020814553,0.0028767851,0.011395226,-0.035940476,-0.015346043,-0.043199677,0.033211157,0.060399394,0.038362507,-0.016911019,-0.029533692,-0.018678863,0.014455106,0.048758574,-0.03373331,-0.048928052,-0.024495391,-0.04127975,0.0023845502,-0.031542666,0.0072398093,-0.006390047,-0.028976355,0.011057825,0.028438957,-0.010285512,0.04408436,-0.012844904,-0.00869285,0.013003087,-0.042446926,-0.0011657048,-0.044762656,-0.0050069075,0.042284526,0.019807799,-0.0194836,0.010954702,0.0061024074,0.008563249,0.01396128,-0.014730084,0.02780552,0.021170797,-0.03947663,0.0064266496,-0.00283389,-0.0031610155,-0.039188273,-0.02385921,-0.0072400193,-0.07764862,0.04310182,4.363492E-4,-0.019409623,-0.006109255,0.023132958,-0.038021177,-0.00571103,-0.013939591,0.03344668,-0.041368123,-0.0543815,-0.0020013833,0.00836442,0.014343151,0.036623176,0.036113225,-0.016405188,-0.039802637,-0.039354257,-0.018338058,0.006171187,-0.0057049096,-0.0073306486,0.019430855,0.009969223,-0.035158083,-0.022731632,-0.01611734,0.004859972,-0.031397957,-0.025972936,-0.016648406,-0.067307666,0.062422816,-0.011146367,-0.06436911,0.019469162,0.025478022,0.027386934,0.017468378,-0.011236703,-0.025587479,-0.017462622,-0.058212705,-0.04086358,-0.040129002,-0.06668459,-0.03892052,-0.004949958,-9.336103E-5,0.019682132,-0.015855324,0.02078017,0.04426897,-0.0033456846,-0.012256159,0.0069211507,-0.026700161,-0.06107306,0.01878675,-0.026544092,0.012293033,0.009004399,-0.008050464,-0.009261037,-0.023334501,0.0051468606,-0.009965688,-0.024276359,-0.008156967,-0.052364204,-6.500579E-4,0.014218234,-0.015062606,-0.034674652,0.053847358,-0.010584183,-0.046180367,-0.0022343593,-0.011985119,0.0078697195,-0.012149314,0.028855894,-0.008699746,-0.0077451146,-0.010052164,0.07459291,0.043452915,-0.017257435,-0.02909773,-0.08027632,-0.017672362,-0.044776272,0.0552665,-0.01994823,-0.025446866,-0.04588537,0.0038242007,0.015282266,0.01595472,-0.028167708,0.0545817,-0.007127376,-0.023506394,-0.07500693,0.063733146,-8.6225214E-4,0.017948454,-0.016815873,-0.022904774,-0.004958349,0.010222004,0.0027459231,-0.05799981,-0.043205988,0.001009681,0.05041127,-0.009438683,0.059261035,-0.011783971,-0.029066881,-0.029395094,-0.0069333124,0.078084916,-0.023134094,0.049446005,-0.019957043,0.03939989,0.0063327886,-0.010859858,0.015230748,0.0011106705,0.024688503,-0.0031183704,-0.0690024,0.0039307605,0.026141431,-0.049154088,-0.014629436,-0.010654267,0.040648654,-0.02511988,-0.027727481,0.017733706,-0.016012937,0.039892145,0.0034922673,-0.009543904,0.012159873,0.015746176,-0.010801754,1.505565E-4,-0.006692461,-0.05262231,0.030125607,-0.009123509,0.0020139187,-0.030429583,-0.030998468,-0.021334669,0.07901921,0.043097455,0.0116634555,-0.056090374,-0.0057193944,0.046291374,0.081622854,0.0060316133,0.007032718,0.012577769,-0.060926206,-0.025294788,0.009654213,0.053438295,0.013595553,0.006877831,-0.034019813,-0.03762358,0.05331589,-0.006246657,-3.2835294E-4,0.028139263,-0.028175192,-0.039711688,-0.028178249,-0.05294343,-0.007426326,-0.025327144,-0.006448351,-0.018319784,-0.028106766,0.023762316,0.051874533,0.0069153327,0.06787881,0.0018686402,0.0052785664,-0.0731402,-0.09455283,-0.02743124,-0.01698883,0.017970616,0.006780577,0.012213571,-0.012192758,-0.0011883188,0.021161484,0.04178398,0.014097266,0.043249175,0.0045019127,0.004559573,0.016065352,0.029898973,0.035185616,0.010425057,7.642944E-4,-0.038095202,-0.007749554,-0.03708731,0.0076166517,0.009117212,0.06474955,-0.004840678,-0.03414848,-0.023945402,-0.0050689913,-0.0053850305,0.020772513,0.023451619,-0.013104026,-0.039928764,-0.00507881,0.052626867,0.049906466,-0.055155657,-0.0056747734,6.809955E-4,-0.0049157147,0.019635137,-0.019987391,0.02234352,-0.014883959,0.05535077,0.0110756345,-0.015669808,0.019291742,-0.01596265,0.001638471,-0.045941412,-0.036775142,-0.010564544,0.026806913,-0.003211362,-0.0014813972,0.016231459,-0.022706678,1.941289E-4,-0.020758392,-0.041084792,-0.0015725943,-0.029077457,-0.06318302,0.0029511896,-0.011640226,-0.045366954,-0.0122413,-0.015734166,0.017483804,-0.033246487,-0.046188228,0.01885913,-0.023202624,0.0045944196,0.033129517,-0.026765916,0.014300864,0.0063082604,0.054752033,-0.011317011,-0.021845499,-0.0016190876,0.013016836,0.008092321,-0.008882486,-0.044586822,0.01576986,-0.013831819,-0.012937013,-0.027919412,0.029037401,0.025799017,0.05357606,-0.010930904,-0.051138803,-0.019037504,0.01457272,0.010801667,0.027988212,0.01154266,0.05872968,0.03843771,-0.012244819,0.011780494,0.035453502,0.0020769385,-0.0023507366,-0.027079357,0.0033658172,-0.0011575386,0.032049175,0.009394241,0.001819418,0.011742368,-0.025792796,-0.036377333,0.008672892,-0.00687476,0.038414024,0.052545886,0.008508391,-0.050693568,0.01686183,0.020388244,-0.047734592,-0.01661953,-0.023031348,-0.022983689,-0.03109786,-0.004214355,0.03831849,0.002908116,0.010933974,-0.018153287,-0.010277464,0.0149941305,0.041926764,0.0053938623,0.0122229,0.04704458,-0.018444095,-0.069670916,0.038631275,-0.01936043,0.043293122,1.10116176E-4,0.03431293,0.026613116,-0.03640779,0.0059056347,-0.013910679,-0.02572114,0.038060542,-0.015413821,-0.00374591,0.0074317474,0.014179173,-0.02952101,-0.0041984916,-0.053235345,-0.060241655,-0.0048552076,-0.004375432,-0.045521203,-0.0078043602,0.025793301,0.014112661,0.025034742,-0.0064332904,0.085308,0.004485694,0.02747883,0.06349297,-0.015102964,-0.02368884,-0.037574865,-0.0014044995,-0.012858048,0.0055259205,-0.047378276,0.03892002,0.037363194,-0.07858907,0.013173188,0.057652693,0.007872579,0.008135903,-0.0038729121,0.041324176,-0.039663736,0.026141737,-0.0070278444,0.011719647,-0.022886874,-0.032019123,0.010641239,9.497882E-4,-0.017294267,-0.04821896,0.030852718,-0.033255897,-0.048095312,0.00535464,-0.044533808,0.041985214,0.015394614,6.6601613E-4,-0.019959524,0.016993832,0.036813803,-0.019287687,0.027021155,-0.021398032,0.0102448985,0.028208973,0.012310208,0.03143123,0.018171499,0.004366229,-0.04167065,0.008391561,-0.02235825,0.02835347,0.046712086,-0.031314902,0.029259793,0.03843832,-0.052393083,0.010744264,0.025300907,0.020330025,0.01861507,-0.008188431,-0.052857947,0.020740481,-0.03437858,0.014056931,0.014470773,-0.0080831805,-0.0014344809,-0.025513535,0.06346961,-0.044186737,0.24072331,0.029432314,-0.0028785793,-0.029234303,-0.0174932,0.050838582,0.0108069135,-0.041560255,0.059285466,0.032738596,0.06589548,-0.03938319,-0.0028449597,0.035172734,0.0538943,0.035965163,-0.017889906,0.023945214,0.024162944,-0.019782702,-0.034522686,0.053980634,0.013258634,0.005998816,0.041136406,0.028666252,-0.0062751896,-0.027713683,-0.031346012,-0.05014758,-0.035521466,-0.016164484,0.016006274,-0.008093445,-4.525539E-4,-0.009997562,-0.0059347646,-0.06334912,-0.015426872,-0.007836801,-0.0056183552,-0.04106842,0.04158342,0.0063060145,0.023534771,0.02496126,-0.035446446,0.035446234,0.019295305,8.15079E-4,0.05466947,-0.010822699,0.031577926,-0.0039241537,-0.023417564,0.017218897,0.024577089,-0.024202267,0.017217575,-0.025445396,0.044183925,-0.02337573,-0.020472115,0.00592303,-0.051998656,0.012862409,0.015255515,-0.010530437,-0.02480721,-0.08359007,-0.02304452,-0.00976515,-0.008412655,-0.013950758,0.051952958,0.018677944,-0.050389543,-0.028896902,-0.009282194,0.0040696617,0.006758205,-0.006998831,0.017673787,0.018499117,0.0033274116,0.061796833,-0.0022680755,-0.009519269,-0.039812386,0.039286826,0.05229431,0.010104939,-0.009878204,0.010294377,0.0044019655],""city"":""Bakar""}"
